iter	Passed	Remaining
712	12033	4843
713	12047	4825
714	12069	4810
715	12089	4795
716	12107	4778
717	12127	4763
718	12144	4746
719	12164	4730
720	12185	4715
721	12200	4697
722	12215	4679
723	12229	4662
724	12244	4644
725	12258	4626
726	12282	4612
727	12299	4595
728	12318	4579
729	12336	4562
730	12359	4548
731	12376	4531
732	12391	4513
733	12406	4496
734	12420	4478
735	12433	4459
736	12447	4441
737	12459	4423
738	12473	4405
739	12490	4388
740	12504	4370
741	12519	4353
742	12533	4335
743	12546	4317
744	12561	4299
745	12575	4281
746	12589	4263
747	12604	4246
748	12626	4231
749	12645	4215
750	12665	4199
751	12686	4183
752	12709	4169
753	12735	4155
754	12755	4139
755	12773	4122
756	12790	4105
757	12808	4089
758	12827	4072
759	12846	4056
760	12860	4039
761	12881	4023
762	12900	4007
763	12919	3990
764	12938	3974
765	12957	3958
766	12976	3942
767	12990	3924
768	13003	3906
769	13018	3888
770	13033	3871
771	13046	3853
772	13060	3835
773	13077	3818
774	13092	3800
775	13105	3783
776	13120	3765
777	13136	3748
778	13150	3730
779	13165	3713
780	13179	3695
781	13193	3677
782	13212	3661
783	13233	3645
784	13257	3631
785	13278	3615
786	13297	3598
787	13315	3582
788	13338	3566
789	13354	3550
790	13373	3533
791	13392	3517
792	13409	3500
793	13429	3484
794	13450	3468
795	13473	3452
796	13493	3436
797	13511	3420
798	13529	3403
799	13548	3387
800	13569	3371
801	13596	3356
802	13613	3339
803	13631	3323
804	13649	3306
805	13667	3289
806	13680	3271
807	13695	3254
808	13710	3236
809	13723	3219
810	13736	3201
811	13750	3183
812	13764	3166
813	13777	3148
814	13792	3130
815	13807	3113
816	13820	3095
817	13847	3080
818	13878	3067
819	13910	3053
820	13929	3037
821	13948	3020
822	13969	3004
823	13998	2989
824	14020	2974
825	14039	2957
826	14060	2941
827	14083	2925
828	14110	2910
829	14131	2894
830	14150	2877
831	14168	2861
832	14188	2844
833	14206	2827
834	14222	2810
835	14239	2793
836	14324	2789
837	14342	2772
838	14359	2755
839	14376	2738
840	14390	2720
841	14406	2703
842	14431	2687
843	14450	2670
844	14469	2654
845	14491	2637
846	14513	2621
847	14533	2605
848	14566	2590
849	14595	2575
850	14622	2560
851	14647	2544
852	14668	2527
853	14686	2510
854	14708	2494
855	14725	2477
856	14753	2461
857	14771	2444
858	14810	2431
859	14830	2414
860	14849	2397
861	14869	2380
862	14894	2364
863	14918	2348
864	14936	2331
865	14954	2313
866	14972	2296
867	14991	2279
868	15011	2262
869	15031	2246
870	15051	2229
871	15072	2212
872	15093	2195
873	15112	2178
874	15132	2161
875	15150	2144
876	15171	2127
877	15190	2110
878	15207	2093
879	15222	2075
880	15235	2057
881	15250	2040
882	15267	2022
883	15281	2005
884	15295	1987
885	15308	1969
886	15323	1952
887	15351	1936
888	15374	1919
889	15394	1902
890	15412	1885
891	15430	1868
892	15449	1851
893	15471	1834
894	15490	1817
895	15507	1799
896	15527	1782
897	15545	1765
898	15563	1748
899	15580	1731
900	15598	1713
901	15629	1698
902	15649	1681
903	15670	1664
904	15691	1647
905	15710	1629
906	15734	1613
907	15750	1595
908	15763	1578
909	15776	1560
910	15792	1542
